TF	target	importance
Prkaa1	Rpl7	2.838373606886629
Zfp651	Pxn	2.8363418830954954
Zzz3	Stk17b	2.797168711003407
Pbx2	Sec14l2	2.790464120230022
Zfp651	Cdh12	2.7711844775869268
Pbx2	Pus3	2.7578416873895826
Prkaa1	Wdr62	2.743783540162462
Prkaa1	Paqr8	2.728969865585203
Pbx2	Mtmr12	2.6822539073882634
Pbx2	Gal3st3	2.68171639676814
Pbx2	Ubxn2b	2.634613659014087
Zfp651	Ppargc1b	2.582368143849263
Prkaa1	Glce	2.5550995970376693
Zfp651	Timm10b	2.5170576253252457
Zfp651	Mmgt2	2.5160617854658436
Zfp651	Mir1897	2.513207202195434
Zzz3	Ccne1	2.4944593627744416
Zfp651	Tmem258	2.477978434384781
Zc3h11a	Casp8ap2	2.4618960165722665
Zzz3	Casp8ap2	2.435739251858788
Pbx2	Psmg2	2.4218680232076792
Zzz3	Thap3	2.381539232388981
Pbx2	Cldn12	2.354684978028594
Zfp651	Stk17b	2.3240768492620174
Zzz3	Tmem258	2.3210407051249238
Zfp651	Nprl3	2.3209564289390032
Zfp651	Zc3h11a	2.3081591954121246
Zfp651	Psmg2	2.2988184004049503
Prkaa1	Cdc123	2.2549623134177055
Zzz3	Mtmr12	2.22902102048323
Zfp651	Otub1	2.2195511611165855
Zfp651	Zgpat	2.1682338194675412
Prkaa1	Pxn	2.1248546776521526
Zzz3	Coq7	2.1132869522021074
Prkaa1	Usp53	2.1010615319570074
Prkaa1	Phactr2	2.084006833699374
Zzz3	Cldn12	2.080053132794155
Pbx2	Morn4	2.051584079375882
Zzz3	Psmg2	2.0505252649080354
Pbx2	Mb21d1	2.025937273440585
Zzz3	Paox	2.0153766281209746
Zc3h11a	Coq7	2.0083923785875277
Prkaa1	Mar-03	1.9908377283263778
Pbx2	Coq7	1.9823563733260767
Prkaa1	Tmem258	1.9690385804680175
Prkaa1	Ppp4r1l-ps	1.9546331482769879
Prkaa1	Socs7	1.9427009653105964
Pbx2	Wdr62	1.942330161230393
Zfp651	Cblb	1.926009835285164
Prkaa1	Paox	1.874560225542875
Zfp651	Mtmr12	1.8732913293008437
Zzz3	Acvr1c	1.8453990954465544
Prkaa1	Mir1897	1.8299126202284386
Prkaa1	Usp25	1.7851046567155744
Pbx2	Thap3	1.7771608008627169
Prkaa1	Stk17b	1.7595445312826752
Zfp651	Nptx2	1.7406174879906064
Pbx2	Cblb	1.6931865681999854
Pbx2	Zswim7	1.6822685590282955
Zfp651	Rian	1.6777736209187624
Pbx2	Snx5	1.6627502591586536
Prkaa1	Wwc1	1.6604263526391727
Prkaa1	Mapkap1	1.6451676907669217
Pbx2	Mar-03	1.5999708768999314
Prkaa1	Ctss	1.5373836674488732
Prkaa1	Thap3	1.5372451135064655
Zfp651	Zc3h15	1.5276920211967016
Pbx2	Pxn	1.5135729624583678
Pbx2	Mmgt2	1.5047332131233209
Prkaa1	Zzz3	1.448783870902257
Zfp651	Hsph1	1.4423370521698675
Zfp651	Pus3	1.4354727145094939
Pbx2	Sorbs3	1.42001594227687
Pbx2	Tbc1d32	1.417331408107535
Pbx2	Wwc1	1.3839997500020074
Prkaa1	Mb21d1	1.3777714711374278
Prkaa1	Neto1	1.2217633681065514
Zzz3	Zgpat	1.1492981596785978
Zfp651	Ubxn2b	1.0440286355737423
Zzz3	Morn4	1.0423420948056872
Prkaa1	Zgpat	1.0313599171652372
Pbx2	Paox	0.9688119416957597
Pbx2	Tph2	0.9377309704037933
Pbx2	Mir1897	0.884496182408797
Pbx2	Ccne1	0.7519206945484406
Zfp651	Wwox	0.4800326251326469
